일별,M001_한식,M002_일식/중식/양식,M003_제과/커피/패스트푸드,M004_기타요식,M005_유흥,M006_백화점,M007_할인점/슈퍼마켓,M008_편의점,M009_기타유통,M010_음/식료품,M011_의복/의류,M012_패션/잡화,M013_스포츠/문화/레저,M014_스포츠/문화/레저용품,M015_숙박,M016_여행,M017_미용서비스,M018_화장품,M019_서비스,M020_인테리어,M021_학원,M022_유아교육,M023_교육용품,M024_병원,M025_약국,M026_기타의료,M027_가전/가구,M028_자동차판매,M029_자동차서비스/용품,M030_주유
2019-03-23,4203 ,994 ,2533 ,4006 ,204 ,964 ,7487 ,5506 ,458 ,1588 ,434 ,175 ,1687 ,367 ,186 ,49 ,619 ,158 ,380 ,120 ,92 ,7 ,183 ,1290 ,1126 ,17 ,262 ,4 ,387 ,2082 
2019-03-24,3748 ,927 ,2392 ,3633 ,157 ,981 ,5413 ,5206 ,522 ,1345 ,416 ,135 ,1571 ,374 ,163 ,53 ,537 ,130 ,176 ,56 ,53 ,7 ,164 ,167 ,291 ,8 ,210 ,2 ,252 ,1893 
2019-03-25,3656 ,660 ,2121 ,3245 ,83 ,422 ,6296 ,5674 ,871 ,1465 ,236 ,120 ,995 ,197 ,86 ,51 ,321 ,137 ,1293 ,179 ,157 ,52 ,208 ,2085 ,1666 ,24 ,334 ,10 ,362 ,1927 
2019-03-26,3768 ,736 ,2179 ,3606 ,98 ,473 ,6267 ,5973 ,966 ,1499 ,264 ,120 ,948 ,216 ,86 ,45 ,298 ,146 ,318 ,139 ,149 ,33 ,202 ,1722 ,1328 ,23 ,309 ,11 ,357 ,1888 
2019-03-27,3831 ,761 ,2180 ,3557 ,103 ,487 ,5898 ,5952 ,682 ,1473 ,259 ,119 ,1034 ,211 ,92 ,47 ,338 ,142 ,335 ,136 ,150 ,21 ,198 ,1626 ,1255 ,24 ,266 ,11 ,352 ,1863 
2019-03-28,3895 ,780 ,2206 ,3631 ,111 ,504 ,6225 ,5975 ,818 ,1496 ,281 ,124 ,1005 ,224 ,97 ,49 ,341 ,145 ,328 ,136 ,145 ,18 ,194 ,1621 ,1279 ,25 ,267 ,10 ,354 ,1896 
2019-03-29,4195 ,867 ,2382 ,4032 ,141 ,635 ,6541 ,6170 ,466 ,1602 ,322 ,141 ,1171 ,271 ,113 ,48 ,400 ,163 ,358 ,142 ,165 ,18 ,182 ,1754 ,1361 ,23 ,280 ,11 ,383 ,2062 
2019-03-30,4277 ,985 ,2538 ,4024 ,207 ,984 ,7348 ,5554 ,455 ,1592 ,439 ,173 ,1659 ,388 ,195 ,48 ,627 ,148 ,349 ,119 ,124 ,1 ,176 ,1284 ,1123 ,17 ,262 ,4 ,387 ,2079 
2019-03-31,3676 ,892 ,2379 ,3506 ,155 ,965 ,6920 ,5000 ,505 ,1229 ,386 ,135 ,1521 ,353 ,163 ,52 ,536 ,119 ,180 ,45 ,73 ,1 ,150 ,175 ,320 ,9 ,210 ,0 ,237 ,1936 
2019-04-01,3667 ,654 ,2105 ,3251 ,84 ,442 ,6164 ,5683 ,1335 ,1458 ,232 ,116 ,1029 ,202 ,88 ,53 ,328 ,162 ,368 ,145 ,254 ,52 ,207 ,2066 ,1646 ,22 ,437 ,11 ,374 ,1989 
