학교종류명,도로명우편번호,도로명주소
초등학교,3765,서울특별시 서대문구 성산로 512-39
초등학교,3351,서울특별시 은평구 통일로78가길 20
초등학교,3412,서울특별시 은평구 연서로 117
초등학교,3322,서울특별시 은평구 갈현로29길 27
초등학교,3616,서울특별시 서대문구 홍은중앙로 13
초등학교,3617,서울특별시 서대문구 세검정로 105
초등학교,3657,서울특별시 서대문구 백련사길 55
초등학교,4123,서울특별시 마포구 대흥로24바길 27
초등학교,4102,서울특별시 마포구 백범로1길 56
초등학교,3787,서울특별시 서대문구 연세로5나길 30-3
초등학교,3303,서울특별시 은평구 진관4로 78-16
초등학교,3493,서울특별시 은평구 증산서길 61
초등학교,3949,서울특별시 마포구 월드컵북로 152
초등학교,3629,서울특별시 서대문구 세무서길 33-9
초등학교,3470,서울특별시 은평구 가좌로6길 20
초등학교,3382,서울특별시 은평구 은평로 239
초등학교,3311,서울특별시 은평구 진관1로 21-20
초등학교,3453,서울특별시 은평구 은평로4길 21-9
초등학교,4136,서울특별시 마포구 백범로17길 9
초등학교,4155,서울특별시 마포구 토정로37길 37
초등학교,3723,서울특별시 서대문구 연희로 136
초등학교,3348,서울특별시 은평구 연서로34길 22
초등학교,3476,서울특별시 은평구 백련산로2길 35
초등학교,3338,서울특별시 은평구 연서로 347
초등학교,3342,서울특별시 은평구 연서로35길 37
초등학교,3670,서울특별시 서대문구 증가로12가길 49-50
초등학교,3420,서울특별시 은평구 은평로3길 25
